title,company,location,experience,education,employment_type,salary,deadline,link
Solution Consultant[RPA] 채용,(주)블루프리즘코리아,서초구,경력 3~15년,대졸,정규직,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50836692&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
RPA 구축 및 운영 우수 개발자를 모십니다.,(주)비에스지원,강남구,경력무관,초대졸,정규직,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51191051&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
[SICT] RPA 개발자 채용,(주)에스아이시티,강남구,신입,초대졸,정규직,,08/14,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51299135&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
[SICT] RPA 개발자 및 PM/PL 모집,(주)에스아이시티,강남구,경력5년,초대졸,정규직,,08/14,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51299120&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
2025년 코코아소프트 RPA 개발인력 채용,(주)코코아소프트,강남구,신입,초대졸,정규직,,07/30,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51163518&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
유명의류업체 RPA 담당자 정규직 채용,커리어커넥트(주),강남구,경력5년,초대졸,정규직,,08/14,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51300162&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
RPA UI Path 과제 개발자 (신입/경력) 모집 (서울사무소),(주)블루넥스,강남구,경력무관,학력무관,정규직,,7/19,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51076776&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
Uipath 기반 RPA 개발자,엑스보스주식회사,강서구,경력무관,초대졸,정규직,,07/27,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51148936&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
RPA 개발자를 모십니다.,(주)아이언닉스,유성구,경력 1~5년,학력무관,정규직,,07/25,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51123016&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
[경력] AI기반 업무자동화(RPA) 개발자 채용 (UiPath 우대),(주)케이에스씨앤씨,종로구,경력 1~5년,초대졸,정규직,,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51162005&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
