index,type,item_name,item_price,item_volumn,time
1,전체,한양럭스,55000,66,2025-07-27 22:47:56
2,전체,삼성쉐르빌II(주상복합),66000,75,2025-07-27 22:47:58
3,전체,한화진넥스빌(주상복합),52500,68,2025-07-27 22:47:59
4,전체,풍림지오빌,54500,82,2025-07-27 22:48:01
5,전체,역삼한스빌,51000,69,2025-07-27 22:48:03
